drug,ndc
Ipratropium ,00487980125
quiniDINE Sulfate,53489046101
INV-PrednisoLONE Ophthalmic 1%,11980018005
Diltiazem,00088177849
Sulindac,00677117401
Fentanyl Patch,00781711455
glyco,64980013101
*NF* Esomeprazole,00186502228
Blistex Lip Ointment,10157992002
Heparin Dwell (1000 Units/mL),67457038599
Fluconazole,00172541346
Penicillin G Potassium,00049053028
Potassium Chl 20 mEq / 1000 mL D5NS,00338080304
Potassium ,00456066270
Atovaquone Suspension,66993006272
Buprenorphine-Naloxone Film (8mg-2mg),00781723864
Lithium Carbonate SR (Lithobid),00054002125
MedroxyPROGESTERone Acetate,55289012130
rOPINIRole,00904637461
Leuprolide Acetate,00300364201
HydrOXYzine,68084025401
Flucytosine Suspension,64980017901
Piperacillin-Tazobactam Na,00206886202
Acetylcysteine (IV),63323096330
OxycoDONE-Acetaminophen Elixir,00406051262
cabergoline,00093542088
calcium carbonate,00054812025
Zeasorb (miconazole),00064065001
Disopyramide CR,00025274231
bisac,00536338101
Leucovorin Calcium,51079058205
midostaurin,00078069899
Penicillin V Potassium,00093412773
LevETIRAcetam,31722053712
Metoprolol Tartrate,00904632261
diazePAM,51079028620
Copaxone,68546031730
esomeprazole magnesium,00186502228
PredForte (prednisolone) 1%,11980018005
TraZODone,00904399061
valproat,68094019361
valproic acid (as sodium salt),00121467500
Silver Sulfadiazine 1% Cream,67877012405
Isosorbide Mono,00228263111
Albuterol,00173068220
Miconazole Powder 2%,11701003816
Epoetin,59676031001
RisperiDONE,51079046020
Fluvastatin,00078017605
Prozac,00093435693
Fluticasone-Salmeterol (250/50) ,00173069602
Imipenem-Cilastatin *NF*,00006351659
Azacitidine (IV),00781325394
Olanzapi,00002445385
Ramelteon,00591219101
PHENYLEPHrine,71019028507
ALPRAZolam,00781106101
OxyCODONE SR (OxyCONTIN),59011042020
CeFAZolin,00264310311
Gam,13533080071
Albumin 5%,68516521102
Hydroxyurea,68084028401
Amoxicillin-Clavulanate Desensitization,00029607531
Immune Globulin (Human) (IGG),13533063504
ciprofloxacin,50419077701
LevETIR,50474059966
PrimiDONE,00904555960
OLANZapine,50268061613
Dorzolamide-Timolol,50383023310
Candida Albicans,49643013801
Lantus,00088222033
Topiramate,50458064165
Pantoprazole,50268063615
Iron Dextran (Test Dose),52544093102
vancomycin (bulk),63323022110
chlorthalidone,51079005820
Lorazepam,69315090401
Acetic Acid 2% Otic Solution,60432074115
Venlafaxine XR,68084071301
GuaiFENesin-Dextromethorphan,00121127600
INV-Venetoclax,0
DASatinib,00003052411
23.4% Sodium Chloride,00409113002
Amphotericin B Oral Suspension,00003043730
Haloperidol,00143950125
Multiple Vitamins Liq.,50383068304
Phenytoin Sodium,00143988125
Ranolazine,61958100301
Ondansetron,16729029805
GlyBURIDE,55289061401
Trokendi XR,17772010315
Ketorolac,47781058468
Carbidopa-Levodopa CR (25-100),68084028101
Lisinopril,00904648561
Ribavirin,0
pramipexole,00555061214
Povidone Iodine 1/4 Strength,67618015001
Nystatin,66689003750
SUMAtriptan succinate,00093022390
Alemtuzumab,58468035703
Gabapentin,00071080340
Santyl,00064501030
lev,00093414664
Norepinephrine,00247120004
Scopolamine Patch,10019055301
Carbidopa-Levodopa (25-100),00904623761
INV-Fluzone High Dose Trival/Fluzone Quad vaccine,49281051725
Midodrine,54092000401
Diltiazem,51079074520
acitretin,00145009125
Oseltamivir,00004080085
Oseltamivir,00004080285
K-DUR,58177000111
Amoxicillin,00093415573
COQ10 300mg ,14654084868
dorzolamide-timolol (PF),61314003002
Lisinopril,00904679961
Polyvinyl ,11980002515
Parox,00029320713
Clobetasol Propionate 0.05% Ointment,00168016230
CefTAZidime,00173038237
Docusate,00121054410
PredniSONE,00054001920
Doc,00121054410
Verapamil,58016050902
Zonisamide,51079076820
Atropine Sulfate,00409163010
Kytril,00004024126
PriLOSEC,60505006500
Flovent,00173049900
aspirin,63739052201
Ketorolac,63323016101
Pseudoephedrine HCl,00904505359
Azathioprine,55390060020
Prochlorperazine,49884055001
Triamcinolone Acetonide,00003029305
Fluconazole,00409468828
Ciprofloxacin,00409477886
Tobradex,61314064725
Calcijex,63323073101
ferrous sulfate,00904759161
Golytely,52268010001
Haloperidol,00093960412
acyclovir,50383081016
quiniDINE ,00002140701
Abilify Maintena,59148001871
Fluticasone Propionate NASAL,00054327099
Dalteparin,00069022001
Nystatin Oral Suspension,60432053760
CycloSPORINE ,00078024815
Lidocaine Jelly 2% (Urojet),00054850016
Isosorbide Dinitrate SA,00781155613
raNITIdine HCl,63739048910
permethrin,00472024260
Domeboro,16500002322
nifedipine,00228249710
OXALIplatin Desensitization,00703398601
benazepril,42291016001
Haloperidol Decanoate (long acting),67457040913
Insulin Regular Human (U-500),00002850101
Metha,00406052710
Enoxaparin,00548560500
BuPROP,00173094755
INV-DUPLOJECT,0
BuP,00591083960
Aspiri,63739027201
Albuterol ,17270072101
OxycoD,00121483940
Ergotamine-Caffeine,00078034905
dalt,00069022801
Prednisone,49999002812
Erythromycin,00904792638
Raltegravir 400mg tablet,00006022761
Nevirapine,00597004660
CefazoLIN,00143998303
Gleevec,00078043815
Lidocaine 5% Ointment,51672302002
LORazepam,00641604610
Levalbuterol Neb,63402051224
Azithromycin,59762308001
AndroGel,00051845030
Povidone I,10939014233
risedronate,00149047201
LeVETiracetam Solution,00054022463
terazosin,00904612861
BD Ultra-Fine Pen Needle,0
Everolimus,00078041561
diazepam,51079028520
prednisoLONE sodium phosphate,60432021208
Neurontin,59762502501
Gabapentin (Liquid),59762502501
Combivent Respimat,00597002402
RITUXimab Desensitization,50242005306
Levalbuterol HCl (Bulk),63402051224
Agrylin,54092006301
Estradiol,00591048701
dextran 70-hypromellose,00536623772
amphetamine,00555078802
NIFEdipine (Extended Release),10370067901
MENINGOcoccal Conj Vaccine (Menomune),49281048901
Carbidopa-Levodopa (25-100) ODT,47335018788
brinzolamide,00065027510
Ethosuximide,00071023724
CefazoLIN,44567070810
PARoxetine,68084004401
Tacrolimus (Prograf Brand) Suspension,00469065773
Fluconazole,25021018482
Simvastatin,63739057310
VinCRIStine (Oncovin),00013746686
Oxycodone-Acetaminophen,00406051262
BuPROPion,00173017855
Menest,61570007201
botox,00023114501
Multivitami,00904053061
CARVedilol,00904630161
fentaNYL citrate transmucosal lozenge,63459054128
Azithromycin,62756051244
INV-Venetoclax,00074057622
gabapentin,00172438210
Mouth Care Oral Rinse,69339013819
Acetylcysteine,00517760425
Liposomal DOXOrubicin (Doxil),43598028335
methylphenidate HCl,00406114201
albuterol sulfate,00173068224
DOBUTamine,00338107302
INV-Acetaminophen ,43825010201
BuPROPion,33358036430
Cidofovir,61958010101
Gamunex/GammaKED 10%,13533080071
Atropine Sulfate 1%,17478021502
Atropine Sulfate 1%,24208075006
Itraconazole,50458029515
ARIPiprazole,59148000735
Salsalate,52152002002
Glucagon,00597026010
Vancomycin Antibiotic Lock,67457033950
Carbidopa-Levodopa CR (50-200),51079092320
Promethazine,51079089520
MethIMAzole,60687035701
